traj_id,DateTime,lat,lon,Distance_prev_to_curr,Speed_prev_to_curr,Acceleration_prev_to_curr
1,2008-10-23 05:53:11,39.984224,116.319402,,,
1,2008-10-23 05:53:16,39.984211,116.319389,1.8210833937999091,0.3642166787599818,
1,2008-10-23 05:53:21,39.984217,116.319422,2.889671187548682,0.5779342375097364,0.04274351174995091
1,2008-10-23 05:53:23,39.98471,116.319865,66.55599667283016,33.27799833641508,16.350032049452672
1,2008-10-23 05:53:28,39.984674,116.31981,6.162986966127117,1.2325973932254235,-6.409080188637931
1,2008-10-23 05:53:33,39.984623,116.319773,6.488224817212112,1.2976449634424223,0.013009514043399761
1,2008-10-23 05:53:38,39.984606,116.319732,3.9718476184984786,0.7943695236996957,-0.10065508794854532
1,2008-10-23 05:53:43,39.984555,116.319728,5.68117223841263,1.1362344476825261,0.06837298479656609
1,2008-10-23 05:53:48,39.984579,116.319769,4.395924011540195,0.8791848023080391,-0.05140992907489741
1,2008-10-23 05:53:51,39.984579,116.319769,0.0,0.0,-0.29306160076934634
1,2008-10-23 05:53:53,39.984577,116.319766,0.3388035204699971,0.16940176023499856,0.08470088011749928
1,2008-10-23 05:53:58,39.984611,116.319822,6.087463440394068,1.2174926880788137,0.20961818556876302
1,2008-10-23 05:54:03,39.984959,116.319969,40.6721695547604,8.13443391095208,1.3833882445746533
1,2008-10-23 05:54:04,39.985036,116.320056,11.324766961134602,11.324766961134602,3.190333050182522
1,2008-10-23 05:54:05,39.984741,116.320037,32.842422033321995,32.842422033321995,21.517655072187395
1,2008-10-23 05:54:07,39.98462,116.32012,15.19975877516508,7.59987938758254,-12.621271322869728
1,2008-10-23 05:54:11,39.98453,116.320242,14.42890137467081,3.6072253436677024,-0.9981635109787094
1,2008-10-23 05:54:16,39.984508,116.320331,7.967596567014226,1.5935193134028451,-0.4027412060529715
1,2008-10-23 05:54:21,39.984537,116.320443,10.072479532615564,2.0144959065231127,0.08419531862405352
1,2008-10-23 05:54:26,39.984529,116.320573,11.11160599987798,2.222321199975596,0.04156505869049667
1,2008-10-23 05:54:30,39.984466,116.320683,11.70074761668273,2.9251869041706824,0.17571642604877158
1,2008-10-23 05:54:34,39.984409,116.320778,10.280270985304577,2.5700677463261443,-0.08877978946113452
1,2008-10-23 05:54:38,39.98432,116.320808,10.221096411140158,2.5552741027850394,-0.0036984108852762265
1,2008-10-23 05:54:43,39.984252,116.320826,7.715212136400233,1.5430424272800465,-0.20244633510099858
1,2008-10-23 05:54:48,39.984238,116.320844,2.185252590296123,0.43705051805922457,-0.22119838184416438
1,2008-10-23 05:54:53,39.984232,116.320853,1.0164134698753844,0.20328269397507687,-0.04675356481682954
1,2008-10-23 05:54:58,39.984246,116.32087,2.12632627075411,0.425265254150822,0.04439651203514903
1,2008-10-23 05:55:03,39.984266,116.320876,2.2818960238831423,0.45637920477662847,0.0062227901251612925
1,2008-10-23 05:55:08,39.984284,116.320922,4.4006952145874045,0.8801390429174809,0.08475196762817049
