lat,lon,datetime,id
39.984094,116.319236,2008-10-23 05:53:05,001
39.984198,116.319322,2008-10-23 05:53:06,001
39.984224,116.319402,2008-10-23 05:53:11,001
39.984211,116.319389,2008-10-23 05:53:16,001
39.984217,116.319422,2008-10-23 05:53:21,001
39.98471,116.319865,2008-10-23 05:53:23,001
39.984674,116.31981,2008-10-23 05:53:28,001
39.984623,116.319773,2008-10-23 05:53:33,001
39.984606,116.319732,2008-10-23 05:53:38,001
39.984555,116.319728,2008-10-23 05:53:43,001
39.984579,116.319769,2008-10-23 05:53:48,001
39.984579,116.319769,2008-10-23 05:53:51,001
39.984577,116.319766,2008-10-23 05:53:53,001
39.984611,116.319822,2008-10-23 05:53:58,001
39.984959,116.319969,2008-10-23 05:54:03,001
39.985036,116.320056,2008-10-23 05:54:04,001
39.984741,116.320037,2008-10-23 05:54:05,001
39.98462,116.32012,2008-10-23 05:54:07,001
39.98453,116.320242,2008-10-23 05:54:11,001
39.984508,116.320331,2008-10-23 05:54:16,001
39.984537,116.320443,2008-10-23 05:54:21,001
39.984529,116.320573,2008-10-23 05:54:26,001
39.984466,116.320683,2008-10-23 05:54:30,001
39.984409,116.320778,2008-10-23 05:54:34,001
39.98432,116.320808,2008-10-23 05:54:38,001
39.984252,116.320826,2008-10-23 05:54:43,001
39.984238,116.320844,2008-10-23 05:54:48,001
39.984232,116.320853,2008-10-23 05:54:53,001
39.984246,116.32087,2008-10-23 05:54:58,001
39.984266,116.320876,2008-10-23 05:55:03,001
39.984284,116.320922,2008-10-23 05:55:08,001
39.984349,116.320935,2008-10-23 05:55:13,001
39.98436,116.320924,2008-10-23 05:55:18,001
39.984334,116.320914,2008-10-23 05:55:23,001
39.984225,116.320923,2008-10-23 05:55:28,001
39.984119,116.320926,2008-10-23 05:55:32,001
39.984007,116.320958,2008-10-23 05:55:36,001
39.983916,116.32098,2008-10-23 05:55:39,001
39.98382,116.321003,2008-10-23 05:55:42,001
39.983724,116.321005,2008-10-23 05:55:45,001
39.98363,116.321032,2008-10-23 05:55:48,001
39.983535,116.321053,2008-10-23 05:55:51,001
39.983434,116.321077,2008-10-23 05:55:54,001
39.983329,116.321087,2008-10-23 05:55:57,001
39.983212,116.321099,2008-10-23 05:56:00,001
39.983088,116.321126,2008-10-23 05:56:03,001
39.982974,116.321144,2008-10-23 05:56:06,001
39.982878,116.321185,2008-10-23 05:56:09,001
39.982782,116.3212,2008-10-23 05:56:12,001
39.982688,116.321225,2008-10-23 05:56:17,001
39.982586,116.321225,2008-10-23 05:56:19,001
39.982478,116.321214,2008-10-23 05:56:22,001
39.982366,116.321192,2008-10-23 05:56:26,001
39.982254,116.321191,2008-10-23 05:56:30,001
39.98216,116.321188,2008-10-23 05:56:34,001
39.982069,116.321219,2008-10-23 05:56:38,001
39.98198,116.321244,2008-10-23 05:56:42,001
39.981885,116.321277,2008-10-23 05:56:45,001
39.981777,116.321291,2008-10-23 05:56:48,001
39.981674,116.321294,2008-10-23 05:56:50,001
39.981561,116.321297,2008-10-23 05:56:53,001
39.981441,116.321305,2008-10-23 05:56:55,001
39.981346,116.321293,2008-10-23 05:56:57,001
39.981252,116.321314,2008-10-23 05:57:00,001
39.981158,116.321307,2008-10-23 05:57:03,001
39.98106,116.321323,2008-10-23 05:57:06,001
39.980961,116.321333,2008-10-23 05:57:09,001
39.98086,116.321351,2008-10-23 05:57:13,001
39.980773,116.321312,2008-10-23 05:57:16,001
39.980678,116.321324,2008-10-23 05:57:19,001
39.980584,116.321342,2008-10-23 05:57:22,001
39.980495,116.321382,2008-10-23 05:57:25,001
39.980395,116.321411,2008-10-23 05:57:28,001
